id,question
44,"Можно ли применять конфискацию к предметам, использующимся для охоты и рыболовства, если охота является основным источником существования?"
44,Кто применяет конфискацию согласно статье 45 и при каких обстоятельствах?
44,Какое имущество подлежит конфискации в соответствии с данной статьей?
45,"Кто применяет лишение специального права, согласно статье 46?"
45,Каков минимальный и максимальный срок лишения специального права?
45,Каков срок лишения права управления транспортными средствами?
45,К кому не применяется лишение права управления транспортными средствами?
45,"При каких условиях возможно лишение права охоты или рыболовства для лиц, для которых это основной источник существования?"
46,Какие основания могут привести к лишению разрешения или приостановлению его действия в соответствии с статьей 47?
46,"Каков максимальный срок приостановления действия разрешения, установленный статьей 47?"
46,Кто может осуществить исключение из реестра коллекторских агентств согласно статье 47?
46,Как осуществляется приостановление или лишение разрешения на осуществление деятельности в финансовой сфере?
46,"Какие действия могут стать причиной для лишения разрешения, если они относятся к лицензируемому виду деятельности?"
47,Что собой представляет приостановление или запрещение деятельности согласно статье 48?
47,"Каковы сроки, на которые может быть установлено приостановление деятельности физических или юридических лиц?"
47,Каким образом производится приостановление или запрещение деятельности?
47,Какова процедура рассмотрения дел о приостановлении деятельности?
47,Какие меры обеспечения могут быть применены до рассмотрения дела по статье 48?
48,В каких случаях осуществляется принудительный снос незаконного строения?
48,Кто принимает решение о принудительном сносе строения?
48,Согласно какой статье регулируется принудительный снос незаконно возводимого строения?
48,Что подразумевается под незаконно возводимым строением?
48,Какие последствия могут быть у владельца незаконного строения при принудительном сносе?
49,Какой максимальный срок административного ареста предусмотрен в статье 50?
49,В каких случаях административный арест может быть увеличен до сорока пяти суток?
49,Кто не может подвергаться административному аресту согласно данной статье?
49,Как учитывается срок административного задержания в срок административного ареста?
49,Какие изменения были внесены в статью 50 Закона РК согласно последним поправкам?
50,Каковы основания для административного выдворения иностранцев или лиц без гражданства из Республики Казахстан?
50,Какое законодательство определяет порядок выдворения иностранцев или лиц без гражданства?
50,"Что происходит, если лицо, подлежащее выдворению, сообщит о тяжком преступлении?"
50,Кто применяет меру административного выдворения и в каком порядке?
50,Какое постановление связано с судебной практикой по делам о выдворении иностранцев или лиц без гражданства?
51,"Какие меры административно-правового воздействия могут быть применены к лицу, совершившему правонарушение?"
51,Каково назначение мер административно-правового воздействия согласно статье 52?
51,Могут ли меры административно-правового воздействия применяться вместо административного взыскания?
51,Какова цель проверки знаний правил дорожного движения для правонарушителей?
51,Каковы особенности применения мер воздействия в зависимости от статей 64 и 64-1 Кодекса?
52,Какие статьи Кодекса требуют от водителей сдачи экзамена по правилам дорожного движения после совершения правонарушений?
52,Кто выносит постановление о направлении водителей на проверку знаний правил дорожного движения?
52,"Каковы изменения, внесенные к части 1 статьи 53 с 30 декабря 2019 года?"
52,"С какого времени вступили в силу изменения, внесенные Законом РК от 11.07.22 № 137-VI?"
52,"Что произошло с статьей 53-1 в связи с последними изменениями, введенными 30 марта 2019 года?"
